N,L,r,steps,threads,gridSize,machine,wall-clock-time,task-clock,context-switches,cycles,instructions,branches,branch-misses
2000,20000.0,1.0,1000,28,8,7700K,67.144532905,263989.478415,479715,843742601321,825981081688,69521196956,3478493651
2000,20000.0,1.0,1000,7,64,7700K,29.8081373,208444.725987,457,671268388112,729130297891,67403166847,3110196607
2000,20000.0,1.0,1000,8,1,7700K,39.0492697,312126.772368,864,1016932202412,1042434901122,72491783783,22164519
2000,20000.0,1.0,1000,4,64,7700K,36.650346391,146495.178029,71,488454323269,728976759388,67365830387,3081452731
2000,20000.0,1.0,1000,4,16,7700K,40.406910729,161520.631581,553,541653504091,768840911768,68012144443,3489942513
2000,20000.0,1.0,1000,32,1,7700K,80.641068487,317372.212488,556440,1024280004598,1045884318260,73165118000,44879300
2000,20000.0,1.0,1000,1,64,7700K,116.578490455,116574.977676,630,484218446147,728906362105,67340686382,3079680940
2000,20000.0,1.0,1000,9,16,7700K,29.905946531,236906.745314,127527,765525543827,769722857080,68180926631,3558460306
2000,20000.0,1.0,1000,20,4,7700K,72.193991964,283816.734377,343433,923703649796,928218018398,71004437293,1890030847
2000,20000.0,1.0,1000,24,32,7700K,60.580680837,238364.30485,407726,732591531854,745138927106,68125201602,3318246437
2000,20000.0,1.0,1000,9,64,7700K,27.527177234,217866.709624,127387,701669937862,729855911743,67534254939,3117745243
2000,20000.0,1.0,1000,40,16,7700K,61.885825246,241800.007704,676549,781970498459,773369107627,68914283324,3576779734
2000,20000.0,1.0,1000,24,64,7700K,59.008879304,230707.858956,405344,707335373730,731706873517,67906321338,3133479634
2000,20000.0,1.0,1000,2,16,7700K,70.949010652,141857.903405,1270,539273238192,768781567169,67994602328,3485313873
2000,20000.0,1.0,1000,19,16,7700K,61.05260093,238833.927331,320094,771680073629,770990791869,68435831868,3562320949
2000,20000.0,1.0,1000,24,16,7700K,63.262470493,248681.389359,409059,776597839011,771583756162,68555125828,3569373813
2000,20000.0,1.0,1000,7,2,7700K,42.711213532,298748.31405,251,986931128606,1042367813005,72472871523,22708836
2000,20000.0,1.0,1000,12,64,7700K,27.614871121,218031.913997,173541,702885290584,730142167651,67591613648,3120743195
2000,20000.0,1.0,1000,40,1,7700K,80.050411046,315341.546734,689635,1028762322224,1046778893079,73344813092,50133206
2000,20000.0,1.0,1000,6,16,7700K,34.191937049,204981.617544,109,674935184286,768936649385,68035481008,3517335837
2000,20000.0,1.0,1000,64,1,7700K,81.265417983,319371.669281,1084374,1039056107467,1049408053370,73873150338,63698374
2000,20000.0,1.0,1000,2,1,7700K,102.501735889,204962.385862,1377,827737320954,1042142379794,72415360532,24614575
2000,20000.0,1.0,1000,8,64,7700K,27.473713993,219531.425298,658,707394094976,729198589509,67422364057,3114381985
2000,20000.0,1.0,1000,24,4,7700K,73.097145369,287156.844153,414137,925720632768,928686796980,71098798157,1890746363
2000,20000.0,1.0,1000,40,64,7700K,57.30038508,222540.190521,674301,716943108840,733523024727,68271467577,3141353475
2000,20000.0,1.0,1000,24,2,7700K,79.74513751,314200.433559,417618,1020120412104,1044967745163,72980771095,40160854
2000,20000.0,1.0,1000,16,1,7700K,71.98632902,281017.721347,269704,1014030839773,1043986624537,72783619000,35129718
2000,20000.0,1.0,1000,1,16,7700K,128.599563321,128594.17842,1173,537480574087,768768245674,67986514102,3487090560
2000,20000.0,1.0,1000,2,32,7700K,66.435642108,132831.532958,1279,504885885070,742344752602,67566359612,3257423416
2000,20000.0,1.0,1000,32,16,7700K,61.391609395,239849.188688,544113,774437118819,772484663831,68736556017,3570397900
2000,20000.0,1.0,1000,10,64,7700K,28.336774135,222458.561289,140373,707189646741,729955558215,67553551543,3120507683
2000,20000.0,1.0,1000,4,32,7700K,37.919978641,151573.348123,91,506653845847,742401389043,67583235474,3256683134
2000,20000.0,1.0,1000,21,1,7700K,79.958087605,315798.517171,364562,1018336346630,1044621193445,72910802474,38429830
2000,20000.0,1.0,1000,9,8,7700K,32.387171627,256781.969459,126761,831436248470,823653406132,69053000714,3464706698
2000,20000.0,1.0,1000,7,4,7700K,39.327749287,275070.451164,974,884759909374,926102178374,70594575884,1889468310
2000,20000.0,1.0,1000,32,4,7700K,73.136325414,288099.506318,551205,931439947096,929592564696,71281027022,1895719900
2000,20000.0,1.0,1000,19,8,7700K,66.384241913,260950.174525,321387,834342375164,824930808766,69309705033,3473719113
2000,20000.0,1.0,1000,7,1,7700K,42.511856121,297371.675451,175,984164148741,1042353839179,72469756196,22253121
2000,20000.0,1.0,1000,28,4,7700K,74.20528406,292509.170875,483371,929315303623,929144877475,71190832903,1892523798
2000,20000.0,1.0,1000,8,4,7700K,35.606966079,284585.252381,788,925543171018,926160169846,70610701956,1868312118
2000,20000.0,1.0,1000,40,4,7700K,72.916860692,286463.108866,685708,934582056257,930492908465,71462043266,1900170848
2000,20000.0,1.0,1000,64,8,7700K,67.011511272,262290.278539,1068474,856114712971,829902617886,70309245254,3495956231
2000,20000.0,1.0,1000,12,2,7700K,40.171530016,317961.586243,176417,1014919922203,1043400718938,72664951924,30828691
2000,20000.0,1.0,1000,20,2,7700K,78.94809856,312779.328672,348117,1018708174967,1044524700940,72891203411,36641139
2000,20000.0,1.0,1000,19,32,7700K,58.3546241,226566.180217,319075,725602577474,744553640621,68007501213,3316649479
2000,20000.0,1.0,1000,4,4,7700K,53.015408471,211949.622037,1115,704198125848,925944104234,70555542029,2015561935
2000,20000.0,1.0,1000,7,32,7700K,30.228789941,211394.186408,119,688017251693,742551261464,67619769433,3292610823
2000,20000.0,1.0,1000,21,32,7700K,57.879324471,227258.535745,353340,731361215437,744786286250,68054273929,3318320750
2000,20000.0,1.0,1000,32,8,7700K,66.795414743,262018.047272,547174,845220696147,826430084833,69611531299,3482883424
2000,20000.0,1.0,1000,6,64,7700K,31.316550598,187725.141157,109,614876776454,729075794289,67389918098,3100377612
2000,20000.0,1.0,1000,9,32,7700K,28.430017989,225090.262269,127213,724442042187,743282606159,67752044218,3310692609
2000,20000.0,1.0,1000,6,1,7700K,47.788130994,286551.325167,139,945919903313,1042314061857,72459171719,22841830
2000,20000.0,1.0,1000,16,64,7700K,56.134281651,217633.458676,263033,699934383446,730766206365,67716775365,3125601311
2000,20000.0,1.0,1000,40,8,7700K,66.724085372,261503.294731,680149,849423644692,827338019393,69793767642,3484017781
2000,20000.0,1.0,1000,32,2,7700K,80.784998648,317588.974369,556062,1023922142454,1045880994296,73164420189,44902878
2000,20000.0,1.0,1000,16,4,7700K,73.06928359,286089.845118,270333,918142202252,927748776315,70909658747,1889216978
2000,20000.0,1.0,1000,1,8,7700K,143.650177388,143648.244785,60,600840107939,822695718345,68857971499,3482066788
2000,20000.0,1.0,1000,2,2,7700K,104.478972826,208918.115616,110,827516565269,1042145303951,72415695300,24503224
2000,20000.0,1.0,1000,7,16,7700K,31.966459358,223554.708181,132,726344572893,768988055324,68048111408,3537652933
2000,20000.0,1.0,1000,32,32,7700K,58.152782258,227715.711406,541956,733231875409,746041832071,68307031448,3326137517
2000,20000.0,1.0,1000,9,4,7700K,35.568864893,282211.928563,127202,916844057998,926813686799,70721922381,1875292774
2000,20000.0,1.0,1000,1,4,XeS4114,239.014452832,239004.501364,484,683754567171,925901674999,70536008665,1931637373
2000,20000.0,1.0,1000,9,2,XeS4114,41.23348097,370542.775465,391,813190324181,1042495566347,72509446937,24695738
2000,20000.0,1.0,1000,10,16,XeS4114,26.253051095,261893.662639,382,574669663634,769146046861,68094491804,3512961668
2000,20000.0,1.0,1000,2,64,XeS4114,90.42425148,180757.842007,286,482388192995,728951503288,67355987300,3131733419
2000,20000.0,1.0,1000,8,16,XeS4114,30.775478221,245719.366718,174,539217563799,769051638092,68069258104,3503939793
2000,20000.0,1.0,1000,19,1,XeS4114,30.788018876,576396.955722,1874,1297539206268,1056389719983,76460544208,23702793
2000,20000.0,1.0,1000,4,8,XeS4114,65.030987621,259873.712516,328,596141936551,822837780428,68899548906,3450448777
2000,20000.0,1.0,1000,20,16,XeS4114,233.653896329,4430277.572155,33852,10904333154144,1246860275142,204228809473,3568517386
2000,20000.0,1.0,1000,6,8,XeS4114,43.56444274,261020.785982,171,598383777977,822906631012,68919853931,3450747030
2000,20000.0,1.0,1000,20,32,XeS4114,229.606242819,4342903.246024,36964,10692613828653,1212432656606,201520336847,3327545323
2000,20000.0,1.0,1000,8,8,XeS4114,34.242990114,273454.306872,160,600086739384,822989147134,68942521675,3449983786
2000,20000.0,1.0,1000,24,8,XeS4114,21.516790045,378773.188337,344599,830258694709,825083861409,69356839321,3476474572
2000,20000.0,1.0,1000,20,8,XeS4114,238.157785017,4506373.615951,33605,11084180835462,1306259200361,206659669271,3480231892
2000,20000.0,1.0,1000,10,2,XeS4114,38.641291497,385753.735012,749,847640034007,1042549082431,72523813032,24172815
2000,20000.0,1.0,1000,16,8,XeS4114,23.063074639,367651.818017,748,807005271504,823652511540,69122731328,3457099506
2000,20000.0,1.0,1000,12,8,XeS4114,27.016185736,323334.72284,619,711745479029,823250700153,69011566800,3459494603
2000,20000.0,1.0,1000,1,1,XeS4114,280.114993086,280107.811409,305,801858526256,1042184731218,72417936588,24671964
2000,20000.0,1.0,1000,10,8,XeS4114,29.078890561,290138.337653,296,636672577474,823086985369,68968678640,3451689444
2000,20000.0,1.0,1000,16,16,XeS4114,21.217614551,338111.311732,816,741968219405,769652420068,68231471170,3544578378
2000,20000.0,1.0,1000,28,2,XeS4114,25.914499726,458850.810457,416012,1005967193420,1044962273410,72999613363,41984067
2000,20000.0,1.0,1000,28,16,XeS4114,20.085329998,349934.231655,416609,766857592865,771574076354,68573281972,3570696198
2000,20000.0,1.0,1000,21,2,XeS4114,25.187170034,457201.197392,301173,1002424596819,1044235675507,72846224256,37299890
2000,20000.0,1.0,1000,4,2,XeS4114,87.939255575,351517.115625,433,806392493115,1042294591221,72453528657,24409730
2000,20000.0,1.0,1000,64,16,XeS4114,20.978352146,357316.376661,1032934,782089996100,775448090618,69385283168,3592790831
2000,20000.0,1.0,1000,64,32,XeS4114,20.094497454,339243.489542,1041760,742278263504,749039539755,68963146468,3349822989
2000,20000.0,1.0,1000,40,32,XeS4114,18.894047109,334440.315622,626596,732453431382,746459075079,68421092043,3332336458
2000,20000.0,1.0,1000,16,32,XeS4114,20.047948269,319436.212154,785,701047852051,743231048884,67807682842,3300059690
2000,20000.0,1.0,1000,6,4,XeS4114,50.26690938,301204.888752,179,690326682039,926072362424,70589888887,1961129220
2000,20000.0,1.0,1000,6,2,XeS4114,58.887391618,352944.093543,717,809061958842,1042367468903,72474632279,24374748
2000,20000.0,1.0,1000,4,1,XeS4114,87.934147932,351486.976132,248,806398930020,1042291359330,72452602554,24480362
2000,20000.0,1.0,1000,1,32,XeS4114,175.024378097,175022.100347,50,496684574792,742359982562,67563891825,3279231303
2000,20000.0,1.0,1000,64,64,XeS4114,19.288930186,328596.8332,1029695,718957777766,735555975931,68733283056,3158904434
2000,20000.0,1.0,1000,32,64,XeS4114,18.582901296,321912.240085,488033,705282532269,732156180473,68020322161,3136253581
2000,20000.0,1.0,1000,10,1,XeS4114,38.573621352,385095.999481,359,845083930978,1042552419391,72525138709,24249964
2000,20000.0,1.0,1000,20,1,XeS4114,236.863357661,4473144.581428,39669,10978345398966,1512504151075,206442831097,44221320
2000,20000.0,1.0,1000,9,1,XeS4114,41.289462245,370984.891405,271,814262751335,1042498176189,72510758119,24559160
2000,20000.0,1.0,1000,28,64,XeS4114,18.545875215,321345.616856,416897,704186050183,731711165221,67927369557,3134564565
2000,20000.0,1.0,1000,19,64,XeS4114,21.675781022,405457.701043,2256,913120873351,739364484722,70312872209,3116285317
2000,20000.0,1.0,1000,8,2,XeS4114,46.292502196,369832.063976,303,811626409505,1042453694303,72497595445,24590127
2000,20000.0,1.0,1000,6,32,XeS4114,36.688849067,219786.403834,175,503854046378,742527853190,67617046681,3298162915
2000,20000.0,1.0,1000,21,16,XeS4114,19.964027852,349910.956769,301056,766995035829,770850117833,68420980340,3564255231
2000,20000.0,1.0,1000,16,2,XeS4114,28.218752714,450083.877012,1398,987577702169,1043054722218,72660597274,23396932
2000,20000.0,1.0,1000,24,1,XeS4114,25.899503546,458053.308303,345101,1004341719509,1044529444758,72908889166,39091503
2000,20000.0,1.0,1000,19,4,XeS4114,25.595347122,481332.220627,1530,1072466553833,933411881468,72669782017,1887151710
2000,20000.0,1.0,1000,19,2,XeS4114,30.978775062,579800.506123,2096,1305923334606,1056763536773,76567022484,23703364
2000,20000.0,1.0,1000,20,64,XeS4114,236.876077717,4469170.872486,44958,11007952081702,1214782874910,205792998193,3138919377
2000,20000.0,1.0,1000,10,4,XeS4114,33.294366895,332220.539853,450,729103230303,926254977991,70638958580,1942515720
2000,20000.0,1.0,1000,12,16,XeS4114,24.660591091,295125.488829,410,647874785421,769294405821,68134002858,3526855142
2000,20000.0,1.0,1000,12,4,XeS4114,30.277721129,362394.552192,553,796112630052,926423037424,70684548180,1923089822
2000,20000.0,1.0,1000,10,32,XeS4114,24.634526964,245725.93255,322,539205981161,742701113194,67664087009,3293245159
2000,20000.0,1.0,1000,64,2,XeS4114,26.58779741,465895.130274,1040596,1020325760754,1048860167350,73816504453,65733525
2000,20000.0,1.0,1000,21,4,XeS4114,23.744506471,416610.119632,301237,913416169043,927958624129,70965679015,1895210288
2000,20000.0,1.0,1000,21,64,XeS4114,18.436712535,319899.489555,301169,701142310275,730984088122,67774221304,3126512733
2000,20000.0,1.0,1000,21,8,XeS4114,21.563865547,378473.671567,301349,829452053204,824793954316,69295690735,3475224230
2000,20000.0,1.0,1000,2,8,XeS4114,110.868105384,221657.211022,60,594736125426,822748586377,68874832043,3454677461
2000,20000.0,1.0,1000,28,32,XeS4114,19.184976964,331615.479226,417092,726670440718,745136288933,68144806534,3325755945
2000,20000.0,1.0,1000,2,4,XeS4114,128.778050802,257474.184889,191,686866487339,925916237353,70545226730,1950250785
2000,20000.0,1.0,1000,7,8,XeS4114,37.50318032,262063.015889,117,599345411880,822943182839,68930392370,3450405145
2000,20000.0,1.0,1000,40,2,XeS4114,25.993413281,461897.162163,629577,1012272397552,1046297932694,73278821846,50208678
2000,20000.0,1.0,1000,12,1,XeS4114,34.575280688,413960.604753,754,909239873087,1042704391751,72565679531,23821883
2000,20000.0,1.0,1000,12,32,XeS4114,23.139257882,276787.171476,431,607884779054,742868051777,67709019221,3302060643
